surname,RANK,FREQUENCY (COUNT),"PROPORTION PER 100,000 POPULATION",CUMULATIVE PROPORTION,White,Black,Asian,Native,PERCENT NON-HISPANIC OR LATINO TWO OR MORE RACES,Latino
SAMPSON,886,"39,277",13.3,"39,543.70",60.2,30,0.7,3.9,2.4,2.8
MOSES,887,"39,216",13.3,"39,557.00",55.1,34.5,2,3.2,2.7,2.6
MAGANA,888,"39,105",13.3,"39,570.30",3.8,0.4,0.6,0.2,0.2,94.9
BLACKBURN,889,"39,097",13.3,"39,583.50",87.4,7.3,0.5,0.9,1.7,2.1
DUNLAP,890,"39,063",13.2,"39,596.80",75,19.5,0.5,0.7,2.1,2.2
GOULD,891,"38,924",13.2,"39,610.00",86.8,7.2,0.7,1.4,1.8,2.1
DUFFY,892,"38,835",13.2,"39,623.10",90.7,4.3,0.7,0.5,1.6,2.3
VAUGHAN,893,"38,830",13.2,"39,636.30",82,12.9,0.5,0.5,1.7,2.4
HERRING,894,"38,733",13.1,"39,649.40",72.7,22.1,0.4,0.5,2.2,2.2
MCKAY,895,"38,681",13.1,"39,662.50",80,13.6,0.7,1.2,2.1,2.4
ESPINOSA,896,"38,667",13.1,"39,675.60",7.7,0.4,3.5,0.3,0.4,87.7
RIVERS,897,"38,662",13.1,"39,688.70",40.5,50.9,0.6,2,2.6,3.4
FARLEY,898,"38,528",13.1,"39,701.80",83.7,10.9,0.6,0.8,1.6,2.5
BERNARD,899,"38,512",13.1,"39,714.90",62.8,25.8,1.1,0.7,2.2,7.4
ASHLEY,900,"38,499",13.1,"39,727.90",71.8,20.6,0.7,2.4,2.3,2.3
FRIEDMAN,901,"38,374",13,"39,740.90",96.1,0.4,0.6,0.1,0.9,1.9
POTTS,902,"38,277",13,"39,753.90",79.6,14.3,0.6,1.3,2,2.3
TRUONG,903,"38,267",13,"39,766.90",0.8,0.1,96.9,0,1.6,0.6
COSTA,904,"38,265",13,"39,779.80",83.2,2.3,1.8,0.4,2.1,10.3
CORREA,905,"38,232",13,"39,792.80",10.4,1,1.7,0.3,1.2,85.4
BLEVINS,906,"38,229",13,"39,805.80",89.5,5.2,0.4,1.2,2.1,1.7
NIXON,907,"38,147",12.9,"39,818.70",62,31.6,0.6,0.7,2.5,2.6
CLEMENTS,908,"38,044",12.9,"39,831.60",84.9,9.9,0.5,0.6,1.9,2.3
FRY,909,"38,029",12.9,"39,844.50",91.1,3.1,0.6,1.1,1.8,2.3
DELAROSA,910,"37,932",12.9,"39,857.30",5.2,0.6,4.6,0.3,0.5,88.9
BEST,911,"37,923",12.9,"39,870.20",71.8,22.5,0.5,0.6,1.8,2.8
BENTON,912,"37,912",12.9,"39,883.10",69,25,0.6,0.9,2.2,2.4
LUGO,913,"37,903",12.9,"39,895.90",6.9,1,0.4,0.3,0.2,91.2
PORTILLO,914,"37,890",12.8,"39,908.80",4.1,0.5,0.4,0.2,0.1,94.8
DOUGHERTY,915,"37,884",12.8,"39,921.60",94.4,1.1,0.6,0.3,1.3,2.3
CRANE,916,"37,870",12.8,"39,934.40",90.1,4.3,0.6,0.6,1.8,2.6
HALEY,917,"37,858",12.8,"39,947.30",81.3,13.2,0.5,0.7,2,2.2
PHAN,918,"37,836",12.8,"39,960.10",1.3,0.2,95.8,0,2,0.7
VILLALOBOS,919,"37,754",12.8,"39,972.90",3.9,0.2,0.7,0.2,0.2,94.8
BLANCHARD,920,"37,695",12.8,"39,985.70",84.9,9.3,0.5,0.8,1.9,2.7
HORNE,921,"37,689",12.8,"39,998.40",70.9,24,0.6,0.6,1.9,2
FINLEY,922,"37,672",12.8,"40,011.20",72.3,21.4,0.5,1.2,2.2,2.4
QUINTANA,923,"37,657",12.8,"40,024.00",8.2,0.3,1.1,1.1,0.3,89.1
LYNN,924,"37,644",12.8,"40,036.70",84.6,9,1.4,0.7,1.8,2.5
ESQUIVEL,925,"37,578",12.7,"40,049.50",4.1,0.2,0.7,0.2,0.2,94.7
BEAN,926,"37,571",12.7,"40,062.20",80.8,13.4,0.6,0.9,1.8,2.5
DODSON,927,"37,566",12.7,"40,075.00",81.4,12.3,0.5,1.4,2.2,2.2
MULLEN,928,"37,502",12.7,"40,087.70",87.6,6.9,0.7,0.6,1.9,2.3
XIONG,929,"37,499",12.7,"40,100.40",0.3,0.1,98.1,0,1.1,0.4
HAYDEN,930,"37,451",12.7,"40,113.10",80.6,14.1,0.7,0.4,2,2.3
CANO,931,"37,368",12.7,"40,125.70",6.6,0.4,1.2,0.2,0.3,91.3
LEVY,932,"37,228",12.6,"40,138.40",79.2,13,0.9,0.3,1.7,5.1
HUBER,933,"37,170",12.6,"40,151.00",95.2,0.4,0.6,0.3,1.4,2.1
RICHMOND,934,"37,053",12.6,"40,163.50",71.7,22.8,0.5,0.5,2.2,2.2
MOYER,935,"37,050",12.6,"40,176.10",93.4,2.4,0.5,0.3,1.4,1.9
LIM,936,"37,021",12.6,"40,188.60",2.9,0.2,92.2,0,3,1.6
FRYE,937,"36,973",12.5,"40,201.20",83,11.8,0.5,1,1.9,1.8
SHEPPARD,938,"36,960",12.5,"40,213.70",67.4,26.8,0.5,0.8,2,2.6
MCCARTY,939,"36,944",12.5,"40,226.20",88.1,6.4,0.5,0.8,1.7,2.4
AVALOS,940,"36,922",12.5,"40,238.70",3.5,0.2,0.2,0.2,0.1,95.8
BOOKER,941,"36,840",12.5,"40,251.20",28,65.2,0.3,0.4,3.8,2.3
WALLER,942,"36,805",12.5,"40,263.70",69.6,25.2,0.5,0.5,2.1,2.2
PARRA,943,"36,765",12.5,"40,276.20",6.5,0.3,0.4,0.4,0.2,92.3
WOODWARD,944,"36,764",12.5,"40,288.60",89.7,4.8,0.6,0.7,1.8,2.4
JARAMILLO,945,"36,755",12.5,"40,301.10",7.5,0.3,1,0.7,0.3,90.3
KRUEGER,946,"36,743",12.5,"40,313.60",96,0.2,0.6,0.4,1.1,1.7
RASMUSSEN,947,"36,636",12.4,"40,326.00",94.6,0.3,0.8,0.4,1.4,2.6
BRANDT,948,"36,613",12.4,"40,338.40",94.1,0.9,0.7,0.4,1.4,2.5
PERALTA,949,"36,585",12.4,"40,350.80",5.2,0.4,7.2,0.3,0.9,86
DONALDSON,950,"36,558",12.4,"40,363.20",72.1,22.1,0.5,0.4,2.4,2.5
STUART,951,"36,540",12.4,"40,375.60",84,9.9,0.7,0.6,1.8,3
FAULKNER,952,"36,466",12.4,"40,387.90",79.4,15.4,0.5,0.6,1.8,2.3
MAYNARD,953,"36,460",12.4,"40,400.30",87.5,7,0.5,0.7,1.7,2.7
GALINDO,954,"36,429",12.4,"40,412.60",5.9,0.2,0.8,0.3,0.3,92.7
COFFEY,955,"36,423",12.4,"40,425.00",88.4,6.7,0.5,0.7,1.7,1.9
ESTES,956,"36,318",12.3,"40,437.30",86.8,7.2,0.5,1,2.1,2.5
SANFORD,957,"36,312",12.3,"40,449.60",76.6,17.8,0.6,0.7,2,2.4
BURCH,958,"36,269",12.3,"40,461.90",78.8,15.4,0.5,0.8,2.2,2.4
MADDOX,959,"36,250",12.3,"40,474.20",69.8,25.2,0.4,0.5,1.9,2.2
VO,960,"36,236",12.3,"40,486.50",1.4,0.2,96.1,0,1.7,0.6
OCONNELL,961,"36,194",12.3,"40,498.80",95.4,0.3,0.6,0.2,1.3,2.2
VU,962,"36,179",12.3,"40,511.00",1,(S),96.6,(S),1.7,0.6
ANDERSEN,963,"36,150",12.3,"40,523.30",94,0.8,0.7,0.4,1.5,2.6
SPENCE,964,"36,129",12.3,"40,535.50",72.2,21.7,0.6,0.6,2.1,2.7
MCPHERSON,965,"36,125",12.3,"40,547.80",73.4,20.7,0.6,0.6,2.3,2.5
CHURCH,966,"36,072",12.2,"40,560.00",89.2,5.8,0.5,0.8,1.6,2.2
SCHMITT,967,"36,043",12.2,"40,572.20",95.7,0.2,0.6,0.4,1.2,2
STANTON,968,"35,997",12.2,"40,584.40",82.9,11.6,0.7,0.6,1.9,2.4
LEAL,969,"35,958",12.2,"40,596.60",13,0.5,1,0.2,0.4,84.9
CHERRY,970,"35,877",12.2,"40,608.80",59,35.5,0.7,0.4,2.5,2
COMPTON,971,"35,830",12.2,"40,620.90",87.3,7.8,0.5,0.7,1.7,2
DUDLEY,972,"35,781",12.1,"40,633.00",66,27.7,0.5,0.7,2.5,2.6
SIERRA,973,"35,770",12.1,"40,645.20",7.2,0.7,0.6,0.5,0.3,90.6
POLLARD,974,"35,749",12.1,"40,657.30",62.8,31.4,0.6,0.6,2.4,2.3
ALFARO,975,"35,725",12.1,"40,669.40",4.9,0.3,1.3,0.1,0.2,93.3
HESTER,976,"35,642",12.1,"40,681.50",73.1,21.9,0.5,0.5,2.2,1.8
PROCTOR,977,"35,636",12.1,"40,693.60",70.1,21.6,0.5,2.4,3.1,2.3
LU,978,"35,628",12.1,"40,705.60",1.8,0.4,95.7,0,1.4,0.7
HINTON,979,"35,606",12.1,"40,717.70",53.2,40.6,0.4,1.2,2.6,2.1
NOVAK,980,"35,461",12,"40,729.70",95.5,0.3,0.7,0.2,1.1,2.2
GOOD,981,"35,446",12,"40,741.80",88.9,5.5,1.2,0.4,1.6,2.4
MADDEN,982,"35,438",12,"40,753.80",84.5,10.5,0.7,0.5,1.8,2.1
MCCANN,983,"35,408",12,"40,765.80",89.7,5.5,0.7,0.4,1.6,2.2
TERRELL,983,"35,408",12,"40,777.80",55.3,39,0.4,0.8,2.4,2.2
JARVIS,985,"35,350",12,"40,789.80",84.9,9.3,0.6,0.6,2,2.8
DICKSON,986,"35,312",12,"40,801.70",75.8,16.9,0.7,1.4,2.2,3.1
REYNA,987,"35,291",12,"40,813.70",6.2,0.3,0.5,0.5,0.2,92.4
CANTRELL,988,"35,266",12,"40,825.60",89.7,4.7,0.5,1.2,1.9,2.1
MAYO,989,"35,228",11.9,"40,837.60",63.3,22.2,2.1,0.9,2.5,9.1
BRANCH,990,"35,225",11.9,"40,849.50",47.4,45.9,0.5,0.6,2.6,3
HENDRIX,991,"35,194",11.9,"40,861.50",78,16.2,0.5,0.7,2.2,2.4
ROLLINS,992,"35,132",11.9,"40,873.40",68.3,26,0.4,0.5,2.4,2.5
ROWLAND,993,"35,121",11.9,"40,885.30",86.6,7.4,0.6,1,1.9,2.5
WHITNEY,994,"35,118",11.9,"40,897.20",85.4,8.5,0.8,0.8,2,2.5
DUKE,995,"35,053",11.9,"40,909.10",85.5,8.1,0.6,0.6,2,3.3
ODOM,996,"35,020",11.9,"40,920.90",69,25.9,0.5,0.6,2,2.1
DAUGHERTY,997,"34,987",11.9,"40,932.80",90,4.5,0.5,1.1,1.9,2
TRAVIS,998,"34,985",11.9,"40,944.70",73.3,21,0.5,0.5,2.2,2.4
TANG,999,"34,961",11.9,"40,956.50",2.6,0.6,93.3,0.1,2.1,1.3
ARCHER,"1,000","34,949",11.9,"40,968.40",79.5,14,0.6,0.7,2,3.1
,,,,,,,,,,
"Source: U.S. Census Bureau, 2010 Census.",,,,,,,,,,
Note: Fields suppressed for confidentiality are assigned the value (S).,,,,,,,,,,
